Vol;Compagnie;Heure_Arrivee;Passagers;Taux_Transit;Temps_Escale_Min;Passagers_Transit;Passagers_Terminus
AT176;Royal Air Maroc;21:05;240;0.25;40;60;180
AS278;ASKY Airlines;05:40;181;0.05;50;9;172
KP922;ASKY Airlines;10:35;191;0.31;45;59;132
ET840;Ethiopian Airlines;13:50;145;0.26;50;38;107
AS251;ASKY Airlines;03:40;189;0.48;30;91;98
AT263;Royal Air Maroc;07:20;199;0.48;30;96;103
AS477;ASKY Airlines;08:05;321;0.07;35;22;299
2J720;Air Burkina;01:45;227;0.12;150;27;200
AT737;Royal Air Maroc;10:45;321;0.59;35;189;132
AS409;ASKY Airlines;19:25;301;0.53;90;160;141
AS488;ASKY Airlines;21:30;350;0.28;120;98;252
AT956;Royal Air Maroc;06:10;83;0.15;45;12;71
AF757;Air France;03:25;87;0.21;60;18;69
AF863;Air France;23:25;131;0.44;35;58;73
AT282;Royal Air Maroc;13:35;221;0.62;30;137;84
KP405;ASKY Airlines;23:00;346;0.42;75;145;201
AS318;ASKY Airlines;00:15;167;0.07;45;12;155
KP272;ASKY Airlines;23:00;239;0.44;45;105;134
HF752;Air C̫te d'Ivoire;11:35;107;0.62;35;66;41
ET371;Ethiopian Airlines;18:05;95;0.27;105;26;69
AS567;ASKY Airlines;04:35;179;0.61;35;109;70
KP119;ASKY Airlines;07:10;283;0.45;50;127;156
AS914;ASKY Airlines;10:35;269;0.16;60;43;226
KP246;ASKY Airlines;21:25;113;0.14;40;16;97
AF528;Air France;03:00;338;0.16;150;54;284
ET264;Ethiopian Airlines;14:30;336;0.47;40;158;178
HF989;Air C̫te d'Ivoire;19:30;132;0.4;60;53;79
ET409;Ethiopian Airlines;11:25;271;0.32;50;87;184
AS113;ASKY Airlines;19:00;251;0.21;50;53;198
AF231;Air France;21:20;126;0.59;50;74;52
AT953;Royal Air Maroc;22:00;270;0.18;105;49;221
ET854;Ethiopian Airlines;20:00;120;0.22;90;26;94
AT538;Royal Air Maroc;09:25;273;0.08;45;22;251
ET842;Ethiopian Airlines;23:35;145;0.22;60;32;113
ET839;Ethiopian Airlines;15:00;122;0.6;50;73;49
AS894;ASKY Airlines;22:05;269;0.16;150;43;226
KP742;ASKY Airlines;07:20;168;0.17;60;29;139
KP324;ASKY Airlines;19:35;255;0.41;150;105;150
AS333;ASKY Airlines;07:50;105;0.39;90;41;64
ET435;Ethiopian Airlines;05:15;178;0.16;60;28;150
KP927;ASKY Airlines;02:20;140;0.14;60;20;120
ET123;Ethiopian Airlines;07:45;329;0.12;35;39;290
SN370;Brussels Airlines;22:20;304;0.57;75;173;131
KP241;ASKY Airlines;09:10;161;0.44;40;71;90
AS817;ASKY Airlines;04:25;261;0.62;75;162;99
AT180;Royal Air Maroc;10:20;267;0.15;50;40;227
AS375;ASKY Airlines;03:05;123;0.33;45;41;82
KP564;ASKY Airlines;16:45;338;0.5;120;169;169
AS395;ASKY Airlines;02:15;177;0.18;30;32;145
KP387;ASKY Airlines;17:50;170;0.46;90;78;92
SN223;Brussels Airlines;07:15;220;0.33;35;73;147
AT975;Royal Air Maroc;23:30;331;0.31;120;103;228
ET382;Ethiopian Airlines;11:30;287;0.44;90;126;161
HF977;Air C̫te d'Ivoire;20:40;258;0.33;75;85;173
AT279;Royal Air Maroc;15:45;266;0.54;40;144;122
KP290;ASKY Airlines;13:55;189;0.61;150;115;74
HF173;Air C̫te d'Ivoire;20:05;298;0.4;75;119;179
ET546;Ethiopian Airlines;15:25;82;0.23;30;19;63
AT884;Royal Air Maroc;03:05;120;0.52;50;62;58
HF596;Air C̫te d'Ivoire;00:40;204;0.15;35;31;173
KP583;ASKY Airlines;00:05;336;0.11;35;37;299
KP821;ASKY Airlines;21:25;272;0.36;40;98;174
AS634;ASKY Airlines;14:35;194;0.44;75;85;109
AS427;ASKY Airlines;19:25;149;0.55;35;82;67
AT506;Royal Air Maroc;19:55;176;0.62;45;109;67
HF412;Air C̫te d'Ivoire;02:10;295;0.57;45;168;127
AS793;ASKY Airlines;13:20;303;0.64;30;194;109
ET247;Ethiopian Airlines;08:15;208;0.34;75;71;137
AS594;ASKY Airlines;18:00;178;0.24;45;43;135
AS122;ASKY Airlines;07:20;349;0.33;30;115;234
KP774;ASKY Airlines;01:45;326;0.44;40;143;183
KP901;ASKY Airlines;03:55;265;0.35;90;93;172
TK900;Turkish Airlines;00:20;323;0.43;45;139;184
AS692;ASKY Airlines;10:30;117;0.58;30;68;49
ET758;Ethiopian Airlines;04:55;336;0.15;75;50;286
AF321;Air France;01:30;327;0.12;90;39;288
KP114;ASKY Airlines;12:05;212;0.35;50;74;138
TK990;Turkish Airlines;16:15;123;0.64;105;79;44
TK732;Turkish Airlines;16:00;272;0.09;75;24;248
AS421;ASKY Airlines;17:20;136;0.64;45;87;49
ET906;Ethiopian Airlines;20:20;327;0.63;105;206;121
KP117;ASKY Airlines;08:15;183;0.23;60;42;141
AS553;ASKY Airlines;05:45;124;0.58;150;72;52
KP376;ASKY Airlines;19:55;139;0.05;90;7;132
ET523;Ethiopian Airlines;02:55;145;0.32;35;46;99
ET575;Ethiopian Airlines;07:30;302;0.29;50;88;214
KP613;ASKY Airlines;02:25;126;0.59;40;74;52
KP563;ASKY Airlines;00:45;317;0.33;50;105;212
SN906;Brussels Airlines;19:10;105;0.3;90;32;73
AS923;ASKY Airlines;12:05;173;0.43;60;74;99
KP482;ASKY Airlines;20:15;189;0.28;30;53;136
ET850;Ethiopian Airlines;04:40;340;0.37;75;126;214
2J624;Air Burkina;15:45;333;0.62;120;206;127
AS283;ASKY Airlines;20:20;119;0.17;30;20;99
AF293;Air France;23:00;333;0.33;30;110;223
AT561;Royal Air Maroc;15:50;176;0.06;45;11;165
AS329;ASKY Airlines;23:10;105;0.56;105;59;46
AF588;Air France;11:40;183;0.11;90;20;163
AS931;ASKY Airlines;12:30;182;0.11;120;20;162
ET682;Ethiopian Airlines;03:10;154;0.58;40;89;65
ET821;Ethiopian Airlines;08:00;164;0.3;60;49;115
ET283;Ethiopian Airlines;15:15;293;0.46;30;135;158
KP474;ASKY Airlines;00:40;192;0.56;120;108;84
HF967;Air C̫te d'Ivoire;04:55;136;0.27;30;37;99
KP583;ASKY Airlines;20:30;180;0.21;60;38;142
AS359;ASKY Airlines;04:20;329;0.15;50;49;280
KP955;ASKY Airlines;23:50;214;0.41;60;88;126
ET183;Ethiopian Airlines;18:25;220;0.2;105;44;176
AF145;Air France;08:00;163;0.43;50;70;93
AS770;ASKY Airlines;07:30;286;0.24;35;69;217
ET955;Ethiopian Airlines;18:55;309;0.26;30;80;229
KP944;ASKY Airlines;17:20;140;0.2;150;28;112
ET537;Ethiopian Airlines;14:30;296;0.3;35;89;207
AS282;ASKY Airlines;03:20;135;0.15;90;20;115
AF808;Air France;14:20;108;0.24;30;26;82
AS960;ASKY Airlines;12:10;190;0.52;60;99;91
SN887;Brussels Airlines;17:20;171;0.18;50;31;140
AS789;ASKY Airlines;19:35;221;0.62;120;137;84
KP219;ASKY Airlines;04:35;181;0.35;150;63;118
KP407;ASKY Airlines;17:05;150;0.11;105;16;134
SN807;Brussels Airlines;07:50;92;0.62;45;57;35
HF376;Air C̫te d'Ivoire;00:00;236;0.32;50;76;160
AS394;ASKY Airlines;18:05;160;0.38;50;61;99
AF882;Air France;22:50;179;0.16;150;29;150
AT152;Royal Air Maroc;16:30;162;0.25;35;40;122
ET905;Ethiopian Airlines;01:10;297;0.47;150;140;157
ET531;Ethiopian Airlines;18:35;316;0.12;35;38;278
AS827;ASKY Airlines;15:15;204;0.39;105;80;124
AS127;ASKY Airlines;17:45;280;0.47;40;132;148
HF568;Air C̫te d'Ivoire;01:45;81;0.05;60;4;77
SN863;Brussels Airlines;05:35;141;0.55;45;78;63
ET985;Ethiopian Airlines;06:05;99;0.08;45;8;91
AS646;ASKY Airlines;05:20;289;0.2;50;58;231
KP300;ASKY Airlines;05:25;259;0.63;50;163;96
AF860;Air France;08:00;141;0.1;75;14;127
HF710;Air C̫te d'Ivoire;07:00;320;0.55;75;176;144
HF919;Air C̫te d'Ivoire;23:40;330;0.44;30;145;185
AT565;Royal Air Maroc;21:20;89;0.41;60;36;53
ET751;Ethiopian Airlines;20:15;266;0.4;45;106;160
KP659;ASKY Airlines;08:00;189;0.15;35;28;161
AS478;ASKY Airlines;11:10;107;0.45;60;48;59
HF859;Air C̫te d'Ivoire;17:15;140;0.62;75;87;53
ET994;Ethiopian Airlines;22:50;137;0.1;35;14;123
KP151;ASKY Airlines;05:50;331;0.25;35;83;248
KP484;ASKY Airlines;22:20;335;0.33;120;111;224
AF933;Air France;03:45;224;0.19;150;43;181
AS107;ASKY Airlines;06:55;158;0.49;75;77;81
AS124;ASKY Airlines;17:20;293;0.46;105;135;158
ET549;Ethiopian Airlines;19:45;99;0.12;40;12;87
AF867;Air France;04:35;309;0.39;40;121;188
AF854;Air France;17:10;143;0.27;90;39;104
KP556;ASKY Airlines;09:30;115;0.19;35;22;93
AF560;Air France;07:25;290;0.56;105;162;128
AS193;ASKY Airlines;00:45;250;0.08;75;20;230
KP536;ASKY Airlines;14:50;105;0.33;90;35;70
AF626;Air France;02:45;342;0.34;105;116;226
ET789;Ethiopian Airlines;14:45;243;0.39;40;95;148
HF477;Air C̫te d'Ivoire;13:50;141;0.17;60;24;117
AF686;Air France;00:25;165;0.57;90;94;71
ET203;Ethiopian Airlines;20:45;152;0.63;30;96;56
AS779;ASKY Airlines;07:40;139;0.38;60;53;86
AS726;ASKY Airlines;06:30;257;0.2;40;51;206
AS138;ASKY Airlines;08:50;131;0.58;90;76;55
AS463;ASKY Airlines;17:30;224;0.64;105;143;81
TK884;Turkish Airlines;11:50;156;0.5;50;78;78
KP473;ASKY Airlines;07:00;198;0.25;35;50;148
HF331;Air C̫te d'Ivoire;07:00;288;0.19;75;55;233
ET138;Ethiopian Airlines;05:40;261;0.14;60;37;224
AT902;Royal Air Maroc;02:40;217;0.19;60;41;176
ET918;Ethiopian Airlines;01:55;204;0.19;30;39;165
ET146;Ethiopian Airlines;13:50;232;0.63;30;146;86
ET135;Ethiopian Airlines;07:45;97;0.44;60;43;54
AS194;ASKY Airlines;05:10;143;0.15;60;21;122
AF460;Air France;03:50;315;0.34;45;107;208
KP245;ASKY Airlines;04:50;158;0.16;90;25;133
KP467;ASKY Airlines;20:35;138;0.41;105;57;81
ET164;Ethiopian Airlines;12:40;330;0.25;60;82;248
AS853;ASKY Airlines;08:00;140;0.17;120;24;116
TK619;Turkish Airlines;12:55;197;0.2;90;39;158
TK915;Turkish Airlines;08:10;158;0.46;90;73;85
SN952;Brussels Airlines;23:25;316;0.29;35;92;224
KP855;ASKY Airlines;23:15;250;0.36;45;90;160
KP600;ASKY Airlines;15:35;323;0.54;30;174;149
SN696;Brussels Airlines;11:40;287;0.44;30;126;161
KP886;ASKY Airlines;01:30;166;0.33;60;55;111
TK634;Turkish Airlines;18:50;218;0.62;75;135;83
TK726;Turkish Airlines;15:00;167;0.18;50;30;137
HF917;Air C̫te d'Ivoire;23:05;212;0.22;90;47;165
KP910;ASKY Airlines;12:00;118;0.6;105;71;47
KP715;ASKY Airlines;04:40;255;0.56;45;143;112
HF471;Air C̫te d'Ivoire;22:15;159;0.13;30;21;138
KP461;ASKY Airlines;23:45;99;0.61;60;60;39
AS552;ASKY Airlines;05:35;300;0.06;30;18;282
ET855;Ethiopian Airlines;20:20;267;0.54;35;144;123
SN268;Brussels Airlines;23:20;233;0.22;150;51;182
AF683;Air France;16:20;222;0.16;45;36;186
ET238;Ethiopian Airlines;16:50;330;0.32;45;106;224
AS330;ASKY Airlines;16:20;291;0.59;60;172;119
ET338;Ethiopian Airlines;02:10;228;0.52;90;119;109
2J352;Air Burkina;12:25;254;0.63;40;160;94
KP535;ASKY Airlines;11:00;251;0.37;60;93;158
ET660;Ethiopian Airlines;05:35;213;0.36;40;77;136
HF521;Air C̫te d'Ivoire;21:15;195;0.06;35;12;183
AF402;Air France;20:25;282;0.16;45;45;237
AF171;Air France;12:05;225;0.35;45;79;146
AF362;Air France;13:05;317;0.5;35;158;159
AS321;ASKY Airlines;06:35;307;0.54;150;166;141
KP161;ASKY Airlines;04:00;334;0.22;40;73;261
AT570;Royal Air Maroc;13:35;235;0.48;105;113;122
AT256;Royal Air Maroc;17:45;322;0.55;120;177;145
HF905;Air C̫te d'Ivoire;03:45;286;0.27;105;77;209
SN224;Brussels Airlines;00:00;333;0.47;120;157;176
ET840;Ethiopian Airlines;06:40;337;0.31;75;104;233
ET951;Ethiopian Airlines;19:00;152;0.64;35;97;55
AT260;Royal Air Maroc;12:15;114;0.05;50;6;108
ET640;Ethiopian Airlines;03:40;208;0.3;90;62;146
AF725;Air France;12:00;267;0.21;30;56;211
AT690;Royal Air Maroc;03:40;174;0.56;30;97;77
HF634;Air C̫te d'Ivoire;02:35;299;0.22;150;66;233
AS230;ASKY Airlines;07:20;204;0.38;150;78;126
KP784;ASKY Airlines;19:25;264;0.49;60;129;135
AS953;ASKY Airlines;07:20;116;0.35;75;41;75
ET984;Ethiopian Airlines;16:15;342;0.3;75;103;239
KP101;ASKY Airlines;14:55;189;0.08;40;15;174
ET332;Ethiopian Airlines;03:45;257;0.06;120;15;242
ET468;Ethiopian Airlines;05:55;221;0.62;45;137;84
KP932;ASKY Airlines;23:15;213;0.44;105;94;119
ET207;Ethiopian Airlines;21:45;228;0.55;150;125;103
AS279;ASKY Airlines;05:35;337;0.34;120;115;222
KP392;ASKY Airlines;09:35;118;0.21;45;25;93
AT683;Royal Air Maroc;03:40;93;0.23;50;21;72
KP274;ASKY Airlines;08:10;132;0.08;60;11;121
KP326;ASKY Airlines;15:45;90;0.52;75;47;43
ET543;Ethiopian Airlines;06:35;242;0.4;50;97;145
AT912;Royal Air Maroc;13:10;262;0.34;75;89;173
AS182;ASKY Airlines;05:05;265;0.56;35;148;117
ET864;Ethiopian Airlines;00:05;116;0.32;75;37;79
AS731;ASKY Airlines;17:40;88;0.62;50;55;33
KP380;ASKY Airlines;11:15;107;0.06;120;6;101
ET894;Ethiopian Airlines;21:20;253;0.64;50;162;91
ET490;Ethiopian Airlines;14:05;206;0.54;150;111;95
ET527;Ethiopian Airlines;00:40;149;0.26;60;39;110
AF717;Air France;14:30;345;0.41;105;141;204
TK911;Turkish Airlines;14:10;230;0.57;45;131;99
ET206;Ethiopian Airlines;15:25;228;0.34;50;78;150
AS758;ASKY Airlines;20:30;297;0.08;50;24;273
AT361;Royal Air Maroc;00:55;205;0.59;40;121;84
KP258;ASKY Airlines;02:25;82;0.36;40;30;52
KP567;ASKY Airlines;11:45;266;0.38;30;101;165
AS254;ASKY Airlines;06:50;122;0.06;45;7;115
KP396;ASKY Airlines;04:45;178;0.11;105;20;158
TK995;Turkish Airlines;00:25;342;0.52;35;178;164
HF933;Air C̫te d'Ivoire;00:35;269;0.31;120;83;186
AF597;Air France;14:35;121;0.65;45;79;42
KP891;ASKY Airlines;07:20;176;0.47;105;83;93
KP399;ASKY Airlines;10:15;339;0.62;105;210;129
AS453;ASKY Airlines;13:50;297;0.22;90;65;232
AS620;ASKY Airlines;22:20;215;0.16;35;34;181
ET485;Ethiopian Airlines;12:40;224;0.28;150;63;161
AF858;Air France;18:55;84;0.21;40;18;66
AF411;Air France;11:45;215;0.42;60;90;125
AS377;ASKY Airlines;21:25;86;0.5;35;43;43
TK849;Turkish Airlines;18:10;116;0.29;40;34;82
AF814;Air France;03:10;146;0.1;30;15;131
ET858;Ethiopian Airlines;03:00;84;0.07;45;6;78
ET846;Ethiopian Airlines;02:20;137;0.18;150;25;112
KP455;ASKY Airlines;05:25;234;0.49;60;115;119
KP938;ASKY Airlines;04:35;192;0.18;30;35;157
AS144;ASKY Airlines;10:50;171;0.6;30;103;68
AT420;Royal Air Maroc;08:40;323;0.44;90;142;181
KP425;ASKY Airlines;02:30;168;0.57;75;96;72
AS454;ASKY Airlines;08:00;257;0.28;75;72;185
AS802;ASKY Airlines;11:30;307;0.64;75;196;111
KP204;ASKY Airlines;02:45;146;0.46;50;67;79
HF573;Air C̫te d'Ivoire;19:40;201;0.26;45;52;149
AF861;Air France;16:15;238;0.18;75;43;195
ET495;Ethiopian Airlines;20:50;347;0.57;150;198;149
AS705;ASKY Airlines;11:55;262;0.24;40;63;199
ET319;Ethiopian Airlines;17:30;83;0.08;105;7;76
ET909;Ethiopian Airlines;03:40;200;0.22;35;44;156
KP541;ASKY Airlines;09:00;309;0.16;30;49;260
KP972;ASKY Airlines;17:55;298;0.24;90;72;226
KP127;ASKY Airlines;07:45;261;0.42;60;110;151
ET893;Ethiopian Airlines;08:40;336;0.35;45;118;218
ET574;Ethiopian Airlines;18:15;122;0.48;120;59;63
AS404;ASKY Airlines;12:55;97;0.25;105;24;73
AS504;ASKY Airlines;05:35;277;0.12;50;33;244
ET612;Ethiopian Airlines;21:10;256;0.15;150;38;218
ET601;Ethiopian Airlines;06:05;155;0.53;30;82;73
HF447;Air C̫te d'Ivoire;20:55;260;0.11;30;29;231
AF339;Air France;05:35;229;0.53;75;121;108
AS669;ASKY Airlines;10:35;161;0.18;30;29;132
KP794;ASKY Airlines;16:10;89;0.46;60;41;48
ET436;Ethiopian Airlines;18:35;291;0.42;75;122;169
AS508;ASKY Airlines;11:50;219;0.11;150;24;195
ET176;Ethiopian Airlines;20:50;339;0.45;120;153;186
TK316;Turkish Airlines;20:25;307;0.32;50;98;209
ET427;Ethiopian Airlines;23:45;84;0.47;40;39;45
KP873;ASKY Airlines;12:40;162;0.55;40;89;73
ET122;Ethiopian Airlines;17:45;85;0.07;35;6;79
ET855;Ethiopian Airlines;06:25;231;0.44;150;102;129
ET769;Ethiopian Airlines;22:35;302;0.11;30;33;269
TK817;Turkish Airlines;04:05;260;0.28;150;73;187
AS698;ASKY Airlines;15:00;342;0.06;90;21;321
TK366;Turkish Airlines;21:45;345;0.25;105;86;259
SN514;Brussels Airlines;03:45;246;0.15;35;37;209
AS366;ASKY Airlines;22:05;157;0.38;45;60;97
KP879;ASKY Airlines;00:55;121;0.36;40;44;77
AS549;ASKY Airlines;03:15;141;0.53;45;75;66
KP710;ASKY Airlines;02:45;110;0.43;45;47;63
KP135;ASKY Airlines;03:40;83;0.48;90;40;43
AF500;Air France;00:30;188;0.11;150;21;167
AS319;ASKY Airlines;11:40;172;0.07;40;12;160
AS713;ASKY Airlines;12:40;178;0.63;40;112;66
HF874;Air C̫te d'Ivoire;01:40;271;0.31;60;84;187
KP835;ASKY Airlines;08:35;291;0.29;150;84;207
AT750;Royal Air Maroc;06:25;162;0.07;40;11;151
AS610;ASKY Airlines;12:50;286;0.12;50;34;252
KP385;ASKY Airlines;21:45;194;0.61;45;118;76
AF553;Air France;01:30;331;0.47;150;156;175
ET861;Ethiopian Airlines;00:05;140;0.3;45;42;98
HF933;Air C̫te d'Ivoire;17:50;332;0.59;35;196;136
AF416;Air France;06:00;158;0.4;105;63;95
AT689;Royal Air Maroc;17:20;275;0.5;50;138;137
KP437;ASKY Airlines;18:35;341;0.31;50;106;235
KP527;ASKY Airlines;07:10;315;0.31;75;98;217
AT450;Royal Air Maroc;22:30;248;0.09;40;22;226
AT610;Royal Air Maroc;11:20;86;0.49;60;42;44
2J624;Air Burkina;10:55;101;0.11;30;11;90
AS591;ASKY Airlines;08:45;151;0.51;50;77;74
AS693;ASKY Airlines;03:35;185;0.16;50;30;155
AT108;Royal Air Maroc;06:25;218;0.2;105;44;174
KP824;ASKY Airlines;16:25;109;0.6;50;65;44
SN659;Brussels Airlines;10:30;168;0.33;90;55;113
HF660;Air C̫te d'Ivoire;01:30;232;0.13;40;30;202
KP539;ASKY Airlines;22:15;152;0.59;150;90;62
AT651;Royal Air Maroc;17:45;317;0.32;60;101;216
AT974;Royal Air Maroc;21:55;330;0.13;35;43;287
AS837;ASKY Airlines;11:45;87;0.28;105;24;63
SN207;Brussels Airlines;08:45;286;0.4;60;114;172
ET344;Ethiopian Airlines;10:35;337;0.27;50;91;246
AT354;Royal Air Maroc;04:25;218;0.6;105;131;87
KP122;ASKY Airlines;06:50;125;0.21;30;26;99
HF944;Air C̫te d'Ivoire;00:35;205;0.16;40;33;172
AS920;ASKY Airlines;23:30;100;0.18;35;18;82
KP561;ASKY Airlines;04:00;249;0.1;105;25;224
SN689;Brussels Airlines;05:15;111;0.32;150;36;75
AS457;ASKY Airlines;12:30;229;0.58;60;133;96
AS543;ASKY Airlines;10:40;285;0.23;150;66;219
TK458;Turkish Airlines;07:05;100;0.21;60;21;79
TK701;Turkish Airlines;19:20;217;0.55;50;119;98
ET445;Ethiopian Airlines;01:40;144;0.23;45;33;111
ET292;Ethiopian Airlines;14:40;144;0.34;45;49;95
AS476;ASKY Airlines;09:25;167;0.07;35;12;155
KP855;ASKY Airlines;07:30;122;0.22;75;27;95
KP245;ASKY Airlines;01:40;220;0.13;60;29;191
AF577;Air France;20:45;83;0.11;40;9;74
AT927;Royal Air Maroc;14:35;120;0.31;75;37;83
AT989;Royal Air Maroc;05:45;169;0.22;105;37;132
AT752;Royal Air Maroc;04:25;335;0.15;120;50;285
AS385;ASKY Airlines;21:25;224;0.36;30;81;143
ET997;Ethiopian Airlines;21:30;263;0.52;150;137;126
KP210;ASKY Airlines;02:30;198;0.49;120;97;101
ET719;Ethiopian Airlines;10:05;192;0.2;90;38;154
KP892;ASKY Airlines;10:40;328;0.21;35;69;259
HF149;Air C̫te d'Ivoire;15:15;171;0.49;30;84;87
AS233;ASKY Airlines;02:45;138;0.38;105;52;86
AS695;ASKY Airlines;08:40;348;0.5;35;174;174
KP769;ASKY Airlines;02:55;173;0.05;75;9;164
AT385;Royal Air Maroc;18:50;333;0.1;75;33;300
ET413;Ethiopian Airlines;10:45;254;0.53;30;135;119
AS396;ASKY Airlines;13:10;82;0.56;120;46;36
AS668;ASKY Airlines;01:20;100;0.26;30;26;74
AF263;Air France;06:20;183;0.63;75;115;68
AS596;ASKY Airlines;09:30;348;0.23;60;80;268
AT709;Royal Air Maroc;09:55;288;0.58;45;167;121
AF115;Air France;19:15;175;0.3;40;52;123
AS177;ASKY Airlines;00:50;172;0.39;50;67;105
AS171;ASKY Airlines;05:55;124;0.44;50;55;69
2J369;Air Burkina;20:15;141;0.13;150;18;123
KP165;ASKY Airlines;13:00;109;0.07;40;8;101
AS167;ASKY Airlines;01:25;349;0.31;60;108;241
AT292;Royal Air Maroc;05:15;89;0.15;40;13;76
TK154;Turkish Airlines;00:50;85;0.38;45;32;53
2J478;Air Burkina;02:45;98;0.32;40;31;67
AT267;Royal Air Maroc;03:45;91;0.12;60;11;80
KP607;ASKY Airlines;12:20;271;0.45;105;122;149
KP742;ASKY Airlines;02:50;182;0.06;40;11;171
AT936;Royal Air Maroc;14:40;329;0.13;30;43;286
ET201;Ethiopian Airlines;12:15;323;0.47;75;152;171
AS893;ASKY Airlines;21:00;274;0.37;50;101;173
SN907;Brussels Airlines;10:50;344;0.22;45;76;268
AS521;ASKY Airlines;03:40;213;0.16;40;34;179
ET874;Ethiopian Airlines;16:20;256;0.44;75;113;143
AS219;ASKY Airlines;04:45;178;0.17;35;30;148
ET842;Ethiopian Airlines;20:55;109;0.64;150;70;39
KP587;ASKY Airlines;23:50;142;0.57;45;81;61
KP772;ASKY Airlines;07:30;107;0.13;35;14;93
AS137;ASKY Airlines;20:10;225;0.57;120;128;97
ET493;Ethiopian Airlines;23:15;148;0.26;90;38;110
AF540;Air France;09:55;331;0.34;40;113;218
ET639;Ethiopian Airlines;06:45;241;0.14;50;34;207
TK561;Turkish Airlines;16:40;189;0.12;150;23;166
AS393;ASKY Airlines;06:45;211;0.57;45;120;91
AS735;ASKY Airlines;23:00;350;0.43;50;150;200
HF191;Air C̫te d'Ivoire;18:55;267;0.33;45;88;179
KP708;ASKY Airlines;08:50;99;0.07;90;7;92
TK105;Turkish Airlines;23:20;256;0.6;60;154;102
